seed,temperatureMin,temperatureMax,temperatureMean,rainfallMin,rainfallMax,rainfallMean,evaporationMean,moistureMean,rainShadowMean,windChanges
8675309,14.991394923420719,23.069878658928438,18.49806383736642,471.66853575611424,1501.1931047785854,1007.825767126471,865.6336895179829,0.5239781840503845,0.2737453044515313,0
4303642605,14.84356350094464,23.09958607816972,18.4949740319525,455.4127349604434,1620.1853767710334,1005.1907637905506,865.9857974936454,0.5230539776493665,0.27808572316854935,0
42,15.008317505466835,23.145954326402133,18.524174278984724,453.5047725973088,1569.5935646196162,1009.6182867741074,865.4535305056953,0.5255153752050594,0.2784167207185358,0
-987654321,14.952101576264388,22.83326879023731,18.491230021145235,450.5031412996227,1526.9292820379985,1004.627411192085,865.6862864412238,0.5243742531715633,0.27515061765273785,0
0,15.03327179052069,23.044069714347064,18.53881306887307,459.98897094789726,1523.6684539887788,1008.6652555777893,865.8074608960651,0.5249825932089085,0.27175618465659357,0
9223372036854775807,15.011144623635877,23.129422287955595,18.473504461180532,477.8486337317572,1534.786152259771,1003.4667678075558,865.2187637578195,0.523774818852262,0.2742807505472431,0
-9223372036854775807,14.882721864481123,23.024993163759753,18.50587460639331,455.637635876422,1484.2936312189536,996.6098236730369,865.6153679838148,0.5223803140152856,0.27152939345895877,0
-1,14.928933187654767,22.885135070951673,18.514640038042216,470.39379642519964,1529.7306411214233,1010.0754564744467,865.8893963730385,0.5251941224685251,0.26967196167936786,0
1,15.04304950456697,22.954952833463434,18.542999116333625,474.47350225887686,1571.0322741069356,1007.2455455184212,865.8147459938072,0.5252129423487254,0.2682457796012864,0
12345,14.922614743646134,23.015527631518406,18.53242031382167,445.73428464594105,1511.0605612333661,1002.846911746748,865.505406693399,0.523559865572419,0.26877243489890956,0
67890,14.950997064004312,23.141174941605627,18.53297438456588,460.5319181795583,1519.718564935503,1012.3829445118732,865.7240494105571,0.5262726419467373,0.2691735056698872,0
314159,14.973138753999164,23.107057728024525,18.523387496802208,464.9056539689883,1535.1120550902906,1002.03521921663,865.9198902907431,0.523091134692264,0.2670413059189216,0
271828,14.967687133735295,22.948720693910793,18.505174534604077,452.35783087109877,1531.4983826683745,1007.0518983941373,865.607212505671,0.5248527296855136,0.27374195444686733,0
20260908,14.924055829125118,23.034661295960706,18.514630535847594,467.49723453591713,1511.6538400690017,1004.880462026058,865.7403025625787,0.5240310714203896,0.27520689100653883,0
-424242,14.926832595964568,23.06250506132339,18.50074845476285,470.80031103520133,1542.7254555991717,1005.6383627146752,865.8241127668389,0.524091699510325,0.2714124258619655,0
987654321012345,14.954192364639544,22.863051425113724,18.503921868203765,456.9605217152523,1514.3451766579617,1003.4188371416869,865.9389614181479,0.5233779182165113,0.27440626994135575,0
