seed,x,z,latitude,temperatureC,rainfallMm,evaporationMm,moistureIndex,rainShadow,windX,windZ,marineClass
8675309,-32768,-32768,-29.491200000000003,16.12902395379376,1444.3309715314167,810.3224311682877,0.6403160032488825,0.13006518600178,-0.9656102772849776,-0.25999383146841887,MAJOR_OCEAN
8675309,-28672,-32768,-29.491200000000003,16.12480846586713,1205.498492940888,810.2465523856083,0.597744616125102,0.0,-0.9666367499157682,-0.25615111499324106,MAJOR_OCEAN
8675309,-24576,-32768,-29.491200000000003,16.050790889697556,1214.738614796632,808.9142360145561,0.599973775410407,0.058446097829230464,-0.9704576723060793,-0.24127143689684122,MAJOR_OCEAN
8675309,-20480,-32768,-29.491200000000003,16.20226742622837,1292.212649860978,811.6408136721107,0.6139204805696746,0.10981323907938277,-0.9734416155285754,-0.22893540826424644,MAJOR_OCEAN
8675309,-16384,-32768,-29.491200000000003,16.257389667341933,1294.5911661120442,812.6330140121547,0.6140671273563411,0.127944086590598,-0.9730371221068406,-0.23064856167346356,MAJOR_OCEAN
8675309,-12288,-32768,-29.491200000000003,15.92268191798724,1241.569191999502,806.6082745237703,0.6058866117174344,0.0,-0.9695734614785309,-0.2448005367570503,MAJOR_OCEAN
8675309,-8192,-32768,-29.491200000000003,15.986320379165193,1389.4488847224418,807.7537668249735,0.6320840727511384,0.057958874059987245,-0.9660795593188135,-0.25824462253136465,MAJOR_OCEAN
8675309,-4096,-32768,-29.491200000000003,16.025434145844265,1289.1284955541262,808.4578146251968,0.6142842394907126,0.11576039174234545,-0.9659392389506398,-0.2587689831789326,MAJOR_OCEAN
8675309,0,-32768,-29.491200000000003,15.976916973539671,1304.2154979023794,807.5845055237141,0.6172924535154666,0.12222436439989204,-0.9692943989874,-0.24590316812041071,MAJOR_OCEAN
8675309,4096,-32768,-29.491200000000003,16.19606595152625,1275.5751935970773,811.5291871274725,0.6108771215519726,0.0,-0.972878349082257,-0.2313173531903349,MAJOR_OCEAN
8675309,8192,-32768,-29.491200000000003,16.16361384621897,1422.5708445515918,810.9450492319414,0.6366349187800416,0.053831625155314373,-0.9735338737417728,-0.22854276772048135,MAJOR_OCEAN
8675309,12288,-32768,-29.491200000000003,16.056784986094865,1398.8660867960627,809.0221297497076,0.6332896686748553,0.10444963194164537,-0.9707266383600818,-0.24018699710462046,MAJOR_OCEAN
8675309,16384,-32768,-29.491200000000003,16.053844840945754,1373.6272111547382,808.9692071370235,0.6290664335442231,0.18987524928023244,-0.9668413686445474,-0.2553776965154523,MAJOR_OCEAN
8675309,20480,-32768,-29.491200000000003,16.032315775367596,1150.2251835114412,808.5816839566168,0.5869074155237841,0.0,-0.9655469807192812,-0.2602287993744736,MAJOR_OCEAN
8675309,24576,-32768,-29.491200000000003,15.928153166462396,1458.6252466279434,806.7067569963231,0.6436061637462398,0.11670158129233008,-0.9681470228867807,-0.2503823917040961,MAJOR_OCEAN
8675309,28672,-32768,-29.491200000000003,16.18616264205057,1371.0742403896506,811.3509275569102,0.6279465220596961,0.10456901212308015,-0.9720621793046189,-0.2347234959810264,MAJOR_OCEAN
8675309,32768,-32768,-29.491200000000003,15.89009325783455,1214.5360060312387,806.0216786410219,0.6007921590563674,0.0,-0.973733910860758,-0.22768897830113205,MAJOR_OCEAN
8675309,-32768,-28672,-25.804799999999997,16.674023427505507,1232.8043238438963,820.1324216950991,0.600215331130065,0.3299720621278856,-0.9633630840930344,-0.2682006118687225,MAJOR_OCEAN
8675309,-28672,-28672,-25.804799999999997,16.15427325780082,515.4205683259254,813.3098051232613,0.3876128413830064,0.3036878905787569,-0.9644173605886824,-0.26438448251582236,LAND
8675309,-24576,-28672,-25.804799999999997,15.676925994383613,690.5151573294675,831.3229184754298,0.45343964555423605,0.4088058610441232,-0.9683479053066449,-0.24960435550733698,LAND
8675309,-20480,-28672,-25.804799999999997,16.01883567063782,1077.613860077189,815.3656903809608,0.568968054494842,0.4358135890506991,-0.9714250008468724,-0.23734672470808144,LAND
8675309,-16384,-28672,-25.804799999999997,16.92515289595041,1167.4361422638456,824.6527521271074,0.5857421340058141,0.23663256070160438,-0.9710074521216927,-0.23904921653111225,MAJOR_OCEAN
8675309,-12288,-28672,-25.804799999999997,15.87957226662318,472.7618390068373,811.4222469293916,0.36785534786827095,0.30811359696123464,-0.9674374182154519,-0.2531103353018616,LAND
8675309,-8192,-28672,-25.804799999999997,15.306717115767883,738.8651834288738,834.2169297654178,0.46939430747325595,0.471481572808368,-0.9638449961461272,-0.2664635498601491,LAND
8675309,-4096,-28672,-25.804799999999997,15.934530246643991,1056.8582780593838,815.7056982695394,0.5640897729738595,0.45544085151379454,-0.9637008850417267,-0.26698427700857713,LAND
8675309,0,-28672,-25.804799999999997,16.85488307322762,1147.5036965974502,823.3878953180972,0.5819304171192976,0.22847701768198303,-0.9671501807561411,-0.2542056802342614,MAJOR_OCEAN
