seed,x,z,temperatureC,rainfallMm,evaporationMm,rainfallOverEvaporation,rainfallMinusEvaporation,moistureIndex,rainShadow,coastDistance,latitudeDegrees,elevationBlocks
8675309,-32768,-32768,16.12902395379376,1444.3309715314167,810.3224311682877,1.782415142388497,634.008540363129,0.6403160032488825,0.13006518600178,5277.5751953125,-22.21258134490239,0.0
8675309,-28672,-32768,16.12480846586713,1205.498492940888,810.2465523856083,1.4878168742483873,395.2519405552796,0.597744616125102,0.0,3337.83154296875,-22.21258134490239,0.0
8675309,-24576,-32768,16.050790889697556,1214.738614796632,808.9142360145561,1.5016902419489293,405.8243787820759,0.599973775410407,0.058446097829230464,1863.7081298828125,-22.21258134490239,0.0
8675309,-20480,-32768,16.20226742622837,1292.212649860978,811.6408136721107,1.5920991503798505,480.57183618886734,0.6139204805696746,0.10981323907938277,2842.061279296875,-22.21258134490239,0.0
8675309,-16384,-32768,16.257389667341933,1294.5911661120442,812.6330140121547,1.5930821709056,481.9581520998895,0.6140671273563411,0.127944086590598,5521.83154296875,-22.21258134490239,0.0
8675309,-12288,-32768,15.92268191798724,1241.569191999502,806.6082745237703,1.5392467833689618,434.96091747573166,0.6058866117174344,0.0,3270.894775390625,-22.21258134490239,0.0
8675309,-8192,-32768,15.986320379165193,1389.4488847224418,807.7537668249735,1.7201391584763872,581.6951178974683,0.6320840727511384,0.057958874059987245,1683.5771484375,-22.21258134490239,0.0
8675309,-4096,-32768,16.025434145844265,1289.1284955541262,808.4578146251968,1.594552581759346,480.6706809289294,0.6142842394907126,0.11576039174234545,2575.9501953125,-22.21258134490239,0.0
8675309,0,-32768,15.976916973539671,1304.2154979023794,807.5845055237141,1.6149585448727781,496.63099237866527,0.6172924535154666,0.12222436439989204,5252.6806640625,-22.21258134490239,0.0
8675309,4096,-32768,16.19606595152625,1275.5751935970773,811.5291871274725,1.5718167797663127,464.0460064696048,0.6108771215519726,0.0,2575.9501953125,-22.21258134490239,0.0
8675309,8192,-32768,16.16361384621897,1422.5708445515918,810.9450492319414,1.7542136127459322,611.6257953196504,0.6366349187800416,0.053831625155314373,1583.2725830078125,-22.21258134490239,0.0
8675309,12288,-32768,16.056784986094865,1398.8660867960627,809.0221297497076,1.7290825990493475,589.8439570463552,0.6332896686748553,0.10444963194164537,2715.2900390625,-22.21258134490239,0.0
8675309,16384,-32768,16.053844840945754,1373.6272111547382,808.9692071370235,1.6979969064781382,564.6580040177147,0.6290664335442231,0.18987524928023244,2534.270751953125,-22.21258134490239,0.0
8675309,20480,-32768,16.032315775367596,1150.2251835114412,808.5816839566168,1.422521937280433,341.6434995548244,0.5869074155237841,0.0,2626.34033203125,-22.21258134490239,0.0
8675309,24576,-32768,15.928153166462396,1458.6252466279434,806.7067569963231,1.8081232541784595,651.9184896316203,0.6436061637462398,0.11670158129233008,2176.0,-22.21258134490239,0.0
8675309,28672,-32768,16.18616264205057,1371.0742403896506,811.3509275569102,1.689865869159902,559.7233128327405,0.6279465220596961,0.10456901212308015,2715.2900390625,-22.21258134490239,0.0
8675309,32768,-32768,15.89009325783455,1214.5360060312387,806.0216786410219,1.5068279653209635,408.51432739021675,0.6007921590563674,0.0,2626.34033203125,-22.21258134490239,0.0
8675309,-32768,-28672,16.674023427505507,1232.8043238438963,820.1324216950991,1.5031771592395555,412.67190214879724,0.600215331130065,0.3299720621278856,2748.276611328125,-20.054712758020393,0.0
8675309,-28672,-28672,16.15427325780082,515.4205683259254,813.3098051232613,0.6337321461995786,-297.8892367973359,0.3876128413830064,0.3036878905787569,128.0,-20.054712758020393,97.70587533148407
8675309,-24576,-28672,15.676925994383613,690.5151573294675,831.3229184754298,0.8306220627187918,-140.80776114596233,0.45343964555423605,0.4088058610441232,1668.915771484375,-20.054712758020393,178.7733640076744
8675309,-20480,-28672,16.01883567063782,1077.613860077189,815.3656903809608,1.3216325788416468,262.24816969622816,0.568968054494842,0.4358135890506991,362.0386657714844,-20.054712758020393,115.8292786425968
8675309,-16384,-28672,16.92515289595041,1167.4361422638456,824.6527521271074,1.4156699765477814,342.78339013673815,0.5857421340058141,0.23663256070160438,3034.43701171875,-20.054712758020393,0.0
8675309,-12288,-28672,15.87957226662318,472.7618390068373,811.4222469293916,0.5826335681525578,-338.66040792255427,0.36785534786827095,0.30811359696123464,286.2167053222656,-20.054712758020393,105.2332617268104
8675309,-8192,-28672,15.306717115767883,738.8651834288738,834.2169297654178,0.8856990994376523,-95.35174633654401,0.46939430747325595,0.471481572808368,2335.78076171875,-20.054712758020393,218.66157313137606
8675309,-4096,-28672,15.934530246643991,1056.8582780593838,815.7056982695394,1.2956367477895914,241.15257978984437,0.5640897729738595,0.45544085151379454,461.51055908203125,-20.054712758020393,121.49010325720648
8675309,0,-28672,16.85488307322762,1147.5036965974502,823.3878953180972,1.3936368303715934,324.11580127935304,0.5819304171192976,0.22847701768198303,2921.654296875,-20.054712758020393,0.0
8675309,4096,-28672,16.015277995498643,516.6991750029449,817.1591577489231,0.6323115516765753,-300.4599827459782,0.3870816567760769,0.3059034501189435,461.51055908203125,-20.054712758020393,120.87898577531728
8675309,8192,-28672,15.473740666047725,659.6484383080187,835.0291318738695,0.7899705688443671,-175.38069356585072,0.44103652515682196,0.4311066635617647,2176.0,-20.054712758020393,201.91473911816036
8675309,12288,-28672,15.932911681209031,1255.7560369826817,809.3252967446091,1.5516085337178684,446.43074023807264,0.6077960322681243,0.18170338362117205,128.0,-20.054712758020393,99.78921401638895
8675309,16384,-28672,16.891795849445923,1216.0157214055616,824.0523252900266,1.4756535284062002,391.96339611553503,0.595774218980227,0.21748393465010377,2626.34033203125,-20.054712758020393,0.0
8675309,20480,-28672,16.034896083629725,536.9058271757483,817.5122833352825,0.6567556697561565,-280.6064561595342,0.39611823319471484,0.29118265155889267,461.51055908203125,-20.054712758020393,116.91443365342279
8675309,24576,-28672,15.615202765756885,783.572425461802,834.1821828289853,0.939330090705667,-50.609757367183306,0.48405880758490094,0.46658035008489623,1936.991455078125,-20.054712758020393,187.64927818071868
8675309,28672,-28672,16.07034227531409,1108.1406420966418,819.6503002093459,1.351967591317435,288.4903418872959,0.5745260503825219,0.46016204142485745,543.0579833984375,-20.054712758020393,123.07898474098741
8675309,32768,-28672,16.738093038860775,1287.3488806860914,821.2856746994939,1.5674800137688127,466.0632059865975,0.610223641530558,0.23374321449044255,2591.802490234375,-20.054712758020393,0.0
8675309,-32768,-24576,17.35014776548949,1029.9743151191606,832.3026597788107,1.2374997280350903,197.67165534034984,0.5527757434857797,0.255880807813976,1920.0,-17.754944772668892,0.0
8675309,-28672,-24576,16.08343429574859,590.8706334805332,847.7660460619289,0.6969736948362879,-256.8954125813957,0.41043038280208355,0.40813342922533863,2304.0,-17.754944772668892,207.85335146807046
8675309,-24576,-24576,18.49535384524818,685.293273918602,862.7316294549336,0.7943296043887534,-177.43835553633153,0.44240300619192097,0.44670357060634486,512.0,-17.754944772668892,119.96381090905558
8675309,-20480,-24576,16.39858777034301,937.3046003456142,848.0985698441684,1.105183564356012,89.20603050144575,0.5246881644562003,0.5735203928355569,1924.261962890625,-17.754944772668892,195.8809606314622
8675309,-16384,-24576,17.432517354078833,1059.3124420682016,833.785312373419,1.2704858509114372,225.52712969478262,0.5592702063999261,0.2621997839754377,2145.6708984375,-17.754944772668892,0.0
8675309,-12288,-24576,16.424016180398418,522.2105506363878,849.463389034049,0.614753451858837,-327.2528383976612,0.38043306246621433,0.4095862450105837,1987.0943603515625,-17.754944772668892,191.6761474151533
8675309,-8192,-24576,15.312899916197635,639.9744783736354,870.6965547928453,0.7350143684970674,-230.72207641920988,0.4233556536656576,0.7187890006719272,5893.5625,-17.754944772668892,396.48757809882557
8675309,-4096,-24576,16.129821756421588,928.5770105651147,848.6010203540429,1.094244513372969,79.9759902110718,0.5222069975103247,0.5970364140356913,2304.0,-17.754944772668892,212.5145549425008
8675309,0,-24576,17.4870853496015,1131.625144635955,834.767536292827,1.3556170974993373,296.85760834312794,0.5751902787915876,0.27615353875240267,1810.193359375,-17.754944772668892,0.0
8675309,4096,-24576,16.36817308870938,551.0549992962548,848.039698733718,0.6497985885791467,-296.9846994374632,0.39358409118442217,0.42056366717266974,1958.0234375,-17.754944772668892,195.52587017256153
8675309,8192,-24576,14.991394923420719,606.0567603001981,863.843438788092,0.7015817138698773,-257.78667848789394,0.4120311906109272,0.7045064580905405,5752.88427734375,-17.754944772668892,404.4876177478073
8675309,12288,-24576,15.961643352102646,802.1365247526411,845.2321922118331,0.949013220442518,-43.095667459191986,0.48662445270728155,0.6038027280990274,2278.97509765625,-17.754944772668892,213.60461053603086
8675309,16384,-24576,17.649545029737215,1264.127022020528,837.69181053527,1.5090597832307489,426.43521148525815,0.6011583130459646,0.2855808065207442,1782.833740234375,-17.754944772668892,0.0
8675309,20480,-24576,16.38862537482891,577.6311792475807,846.0461696618307,0.6827419116836886,-268.41499041425004,0.40544701555742185,0.40969615038234375,1796.5655517578125,-17.754944772668892,189.32561097188352
8675309,24576,-24576,15.240484963298174,648.5254258014172,868.9090111265174,0.7463674763375066,-220.38358532510017,0.4271013683761681,0.7337775757465792,5829.2724609375,-17.754944772668892,398.9126471578924
8675309,28672,-24576,15.914377151184286,910.5860973349994,847.630351785505,1.0742726418619628,62.955745549494395,0.5176089035492103,0.6247542858262106,2521.3076171875,-17.754944772668892,225.98427398753833
8675309,32768,-24576,17.31226072534673,1114.8983579257008,831.6206930562412,1.340633256525162,283.2776648694596,0.5724710920612394,0.2680604611872295,1536.0,-17.754944772668892,0.0
8675309,-32768,-20480,18.087310266918216,1091.18734210906,845.5715848045279,1.2904730500863644,245.61575730453205,0.5631182119475898,0.0,2712.271484375,-15.298804780876495,0.0
8675309,-28672,-20480,17.302084127418407,654.0024032898165,843.5784865169383,0.775271552964959,-189.57608322712179,0.4364144823534694,0.2662957774159833,640.0,-15.298804780876495,121.79768933688658
8675309,-24576,-20480,17.201580864286942,689.5092456144192,862.7369886025263,0.7992114105728748,-173.22774298810702,0.4439149636580505,0.3678476963346612,1936.991455078125,-15.298804780876495,192.8434353931277
8675309,-20480,-20480,17.317613799625605,777.7798456215546,845.3588967916784,0.9200587449583827,-67.57905117012376,0.4788875637963585,0.28375407168531286,724.0773315429688,-15.298804780876495,133.42723125936084
8675309,-16384,-20480,18.198926018335708,1402.944811139242,847.5806683300427,1.6552345559077142,555.3641428091992,0.6231085652514735,0.33218769798572145,2715.2900390625,-15.298804780876495,0.0
8675309,-12288,-20480,17.21707274397004,641.5177230120619,842.0482816148677,0.7618538473610666,-200.53055860280585,0.432124756334613,0.2747334864849564,640.0,-15.298804780876495,131.7073134018654
8675309,-8192,-20480,17.039973931547404,632.4166818200231,859.6435207458476,0.7356731791235082,-227.2268389258245,0.4235707848439033,0.38466301321383667,1924.261962890625,-15.298804780876495,193.57574451485266
8675309,-4096,-20480,17.282191155571663,744.4207038363957,846.4011492307724,0.8795128698879264,-101.98044539437672,0.46765327564892045,0.29955073854144515,819.5999145507812,-15.298804780876495,138.44968762720654
8675309,0,-20480,18.357982589032595,1282.1348261942696,850.4436866025867,1.5076069660958196,431.69113959168294,0.6009316359835055,0.1660484066230631,2307.552734375,-15.298804780876495,0.0
8675309,4096,-20480,17.397783246749547,576.2880568151385,852.122075534166,0.6762975321979345,-275.83401871902754,0.4031649445970984,0.309990995016643,1031.968994140625,-15.298804780876495,148.33945719811663
8675309,8192,-20480,16.964186716356974,641.4585987042348,863.6195896328799,0.7427559615419509,-222.1609909286451,0.4259132119909921,0.40902987856260503,2304.0,-15.298804780876495,209.812009323825
8675309,12288,-20480,17.360767130483996,790.5838911998234,842.8779476024042,0.937957735694316,-52.29405640258085,0.48369675720246974,0.26721273180700417,543.0579833984375,-15.298804780876495,117.33135440056141
8675309,16384,-20480,18.044515066169087,1334.6359460089118,844.8012711910435,1.5798223694991305,489.8346748178683,0.6120955629819999,0.1671326228248975,2575.9501953125,-15.298804780876495,0.0
8675309,20480,-20480,17.37853400747017,634.5703852512341,841.6977659644106,0.7539171551966144,-207.12738071317642,0.42955666831986183,0.27994534525064796,461.51055908203125,-15.298804780876495,117.86009452438478
8675309,24576,-20480,16.933253078105583,584.0386927279461,864.7880127292999,0.6753547506801123,-280.7493200013538,0.40283344935610915,0.416693399962563,2432.0,-15.298804780876495,221.3746985271586
8675309,28672,-20480,17.330704812114288,900.4970473567689,840.8368404480048,1.0709533693563864,59.66020690876417,0.5168338018675261,0.2608921443081659,461.51055908203125,-15.298804780876495,114.44441911932793
8675309,32768,-20480,18.272227608953273,1230.8821308975746,848.9000969611589,1.4499728946949257,381.98203393641575,0.5915477912189956,0.17593449888470372,2380.937744140625,-15.298804780876495,0.0
8675309,-32768,-16384,19.16783747504943,1469.7247637952307,865.0210745508898,1.6990623778250686,604.7036892443409,0.6292314598903036,0.19022678523109518,2626.34033203125,-12.6697827880121,0.0
8675309,-28672,-16384,18.87892248721555,1135.4903560249456,859.82060476988,1.3206131019956717,275.66975125506565,0.5687943303045601,0.0,2550.3818359375,-12.6697827880121,0.0
8675309,-24576,-16384,19.142019563485608,1208.2942203213013,864.5563521427409,1.3975887370749527,343.73786817856035,0.5826332120378704,0.04968959709988401,2176.0,-12.6697827880121,0.0
8675309,-20480,-16384,18.938093331575068,1487.1479295937763,860.8856799683513,1.727462733087218,626.262249625425,0.633089251486269,0.10945432174652514,2575.9501953125,-12.6697827880121,0.0
8675309,-16384,-16384,19.005156563546986,1501.149243801353,862.0928181438458,1.7412849431148798,639.0564256575071,0.6349388956248713,0.2565632892871853,2534.270751953125,-12.6697827880121,0.0
8675309,-12288,-16384,19.126000665891173,1142.7295622829483,864.2680119860411,1.3221935168663916,278.46155029690726,0.5690891149103895,0.0,2472.090576171875,-12.6697827880121,0.0
8675309,-8192,-16384,19.125562642309017,1400.7913565022202,864.2601275615623,1.6207983127191532,536.5312289406579,0.6181639589185928,0.07086342877775548,2023.857666015625,-12.6697827880121,0.0
8675309,-4096,-16384,18.841877565919475,1314.757246665456,859.1537961865506,1.5302932402803222,455.6034504789054,0.6045108148153899,0.10440904350413245,2514.801025390625,-12.6697827880121,0.0
8675309,0,-16384,19.059011872423206,1142.4992463033984,863.0622137036178,1.3237739159042148,279.43703259978065,0.569381635735894,0.0,2626.34033203125,-12.6697827880121,0.0
8675309,4096,-16384,18.88686875657487,1166.9734758505635,859.9636376183477,1.3570032787461497,307.0098382322159,0.5754485521764447,0.0,2691.0458984375,-12.6697827880121,0.0
8675309,8192,-16384,18.88014021202306,1470.2939601108985,859.8425238164151,1.7099572530851253,610.4514362944834,0.6307198099503226,0.06965205335176078,1796.5655517578125,-12.6697827880121,0.0
8675309,12288,-16384,18.838570820114565,1496.8384011765768,859.0942747620622,1.7423447520834037,637.7441264145145,0.6350789805994211,0.10055962496348105,2810.17578125,-12.6697827880121,0.0
8675309,16384,-16384,19.176164434417824,1501.1931047785854,865.1709598195208,1.7351404225261353,636.0221449590646,0.6341200862290838,0.17005500266346682,5252.6806640625,-12.6697827880121,0.0
8675309,20480,-16384,18.840155742861725,1268.6903787565718,859.122803371511,1.4767276270374483,409.56757538506076,0.5959613503935167,0.0,2769.0634765625,-12.6697827880121,0.0
8675309,24576,-16384,19.064768663977553,1441.302664250613,863.1658359515959,1.6697865047701417,578.136828299017,0.62516692989915,0.05828959815568558,1557.187255859375,-12.6697827880121,0.0
8675309,28672,-16384,18.851723136996693,1309.3580808933343,859.3310164659405,1.523694659920646,450.02706442739384,0.603477282753069,0.11018492953425232,2985.447265625,-12.6697827880121,0.0
8675309,32768,-16384,18.851191915543332,1326.2867120679052,859.32145447978,1.5434116129112811,466.96525758812527,0.6065497844371021,0.11595836669929503,2715.2900390625,-12.6697827880121,0.0
8675309,-32768,-12288,20.03946532275119,1298.0034023054923,880.7103758095215,1.4738141368124658,417.2930264959708,0.5954925895949457,0.34647963840416185,2591.802490234375,-9.848959817611854,0.0
8675309,-28672,-12288,18.89817954284447,471.66853575611424,876.1680121774289,0.538331152473755,-404.4994764213146,0.3496854652097945,0.3369620111941724,858.6500854492188,-9.848959817611854,133.4414554133702
8675309,-24576,-12288,19.297194545724444,744.3848628674147,894.4524655679702,0.83222406055389,-150.06760270055554,0.45393823518925097,0.3700164862157166,1536.0,-9.848959817611854,170.86519743887555
8675309,-20480,-12288,19.066939938967515,1108.618122536107,872.0890727313629,1.2712212057237922,236.5290498047441,0.5594257946802668,0.4633068615485733,461.51055908203125,-9.848959817611854,123.47657826830452
8675309,-16384,-12288,19.914529019066805,1320.29735432172,878.4615223432024,1.5029654922164006,441.8358319785175,0.6002009439886596,0.2355842486367126,2955.109375,-9.848959817611854,0.0
8675309,-12288,-12288,19.17369412463011,475.13068592654236,877.2674664667489,0.54160299348631,-402.1367805402066,0.3510649730726628,0.30492631003506687,640.0,-9.848959817611854,128.2863522477858
8675309,-8192,-12288,18.53782939096255,721.1091031559567,888.608578428815,0.8115036481315306,-167.49947527285826,0.44769428646642995,0.4603041765432238,2063.93798828125,-9.848959817611854,208.45880041225348
8675309,-4096,-12288,19.028728631259177,1066.0979478317688,877.8388237931476,1.2144575051091409,188.25912403862117,0.5481401572458764,0.49377454944156535,819.5999145507812,-9.848959817611854,137.84838468245346
8675309,0,-12288,19.74016216882519,1312.285418305511,875.3229190388533,1.4992014829755211,436.9624992666577,0.5995981080369205,0.23259156219278057,2635.681396484375,-9.848959817611854,0.0
8675309,4096,-12288,19.169903995243146,558.215999412085,875.4424111680689,0.6376387438978185,-317.2264117559839,0.3890933167752113,0.28504279715796027,543.0579833984375,-9.848959817611854,121.96396410134018
8675309,8192,-12288,18.815698371518202,779.5427584370426,885.1984596490595,0.8806417927411391,-105.65570121201688,0.46798551297945257,0.4081709656834911,1498.2015380859375,-9.848959817611854,170.70954434610118
8675309,12288,-12288,21.224819842458647,1180.6179987518333,902.0467571642557,1.3088212882260293,278.57124158757756,0.5666065020295317,0.17650975263678656,362.0386657714844,-9.848959817611854,0.0
8675309,16384,-12288,20.00422055911954,1210.774756043531,880.0759700641518,1.3757616356179723,330.6987859793792,0.5788055241859564,0.22690436593884225,3280.8974609375,-9.848959817611854,0.0
8675309,20480,-12288,19.09240866624277,488.00660689244916,869.2533021225441,0.5614089767629686,-381.246695230095,0.3592880888653706,0.28936181059967814,286.2167053222656,-9.848959817611854,106.35161986379202
8675309,24576,-12288,18.83984213404949,760.3973225735059,890.3698722401326,0.8540240929989901,-129.97254966662672,0.4603538107313592,0.41323747755522905,1810.193359375,-9.848959817611854,183.59869422628142
8675309,28672,-12288,21.153465078050157,1262.0808811248057,900.7623714049028,1.401125225908761,361.318509719903,0.5832589212038953,0.1785898916653102,128.0,-9.848959817611854,0.0
8675309,32768,-12288,19.741018073179085,1155.1460042727676,875.3383253172235,1.319656606894416,279.80767895554413,0.568621666161662,0.23711444039091273,3238.17236328125,-9.848959817611854,0.0
8675309,-32768,-8192,20.862180330425016,1102.4281311347202,895.5192459476502,1.2310490658055218,206.90888518706993,0.5515043286150961,0.25117566687035686,1792.0,-6.81455190771961,0.0
8675309,-28672,-8192,19.513015695809667,537.6590851257045,910.6783149679984,0.5903940791042093,-373.01922984229395,0.3709688890184878,0.4364435093203616,2391.2373046875,-6.81455190771961,214.68252353613758
8675309,-24576,-8192,22.074720263004984,684.7995294935417,931.7625592367324,0.734950683202495,-246.96302974319065,0.42335285567374037,0.48027554871514144,768.0,-6.81455190771961,129.76684323883802
8675309,-20480,-8192,19.788678204769795,894.656401079776,905.2599851593445,0.988286697464373,-10.603584079568577,0.49677842231648506,0.553367948451913,1664.0,-6.81455190771961,182.99368604930902
8675309,-16384,-8192,20.906462297034384,1122.5201571575003,896.3163213466189,1.2523705419879385,226.2038358108814,0.5557480365880079,0.25921808091882814,2304.0,-6.81455190771961,0.0
8675309,-12288,-8192,19.96288991698058,609.6209625624634,910.3829314205608,0.6696313622787406,-300.76196885809736,0.40080171061630915,0.4427465971101873,1796.5655517578125,-6.81455190771961,179.7680226648718
8675309,-8192,-8192,19.021411136333846,625.8218596368372,936.5577375816468,0.6682149263459366,-310.73587794480966,0.4003006440344238,0.722554903831591,5775.623046875,-6.81455190771961,387.80280362884014
8675309,-4096,-8192,19.613155445620812,856.4984523379848,914.589416302708,0.9364841064971428,-58.09096396472319,0.48332730419004283,0.6186819826775156,2550.3818359375,-6.81455190771961,223.3587938980442
8675309,0,-8192,20.6678307250806,1195.159107492788,892.0209530514508,1.3398329976491625,303.1381544413373,0.57234485190003,0.26833465350766955,1619.086181640625,-6.81455190771961,0.0
8675309,4096,-8192,19.61885869689657,472.7626832597534,904.724169588268,0.52254897033966,-431.9614863285146,0.3429577019780802,0.41193016111656555,1832.68115234375,-6.81455190771961,191.8343423213003
8675309,8192,-8192,19.108541361776645,667.9615715336989,935.5351268456084,0.713988766820439,-267.57355531190944,0.41630598069064456,0.7080185543795913,5445.64404296875,-6.81455190771961,371.9774810915122
8675309,12288,-8192,19.898070714448814,831.4695580574225,909.7499859042083,0.913953911448559,-78.28042784678576,0.4772472912149436,0.5658921566019565,1832.68115234375,-6.81455190771961,188.26435724732926
