seed,x,z,latitudeDegrees,temperatureC,rainfallMm,evaporationMm,aridity,marineClass,winner
8675309,-8192,-2000000,-85.71428571428571,-7.190668887150325,1143.1775974605182,430.0,2.6585525522337634,COASTAL_WATER,minecraft:frozen_ocean
8675309,0,-2000000,-85.71428571428571,-5.767609878483632,1246.100683385747,430.0,2.897908566013365,MAJOR_OCEAN,minecraft:deep_frozen_ocean
8675309,8192,-2000000,-85.71428571428571,-7.2482842682602735,1041.7155360176537,430.0,2.422594269808497,COASTAL_WATER,minecraft:frozen_ocean
8675309,-8192,-500000,-75.0,-8.714899282666813,647.6514959679703,504.65462302219856,1.2833559159518124,LAND,minecraft:ice_spikes
8675309,0,-500000,-75.0,-2.022100399741527,1278.196097797198,483.60219280465253,2.6430734120213466,MAJOR_OCEAN,minecraft:deep_frozen_ocean
8675309,8192,-500000,-75.0,-7.917148359013764,666.4071665495258,499.7506504710924,1.3334793379885224,LAND,minecraft:ice_spikes
8675309,-8192,-150000,-54.0,4.46542289711111,977.1589030769329,607.8170122043125,1.6076530986409265,LAND,minecraft:old_growth_pine_taiga
8675309,0,-150000,-54.0,5.352224666886431,1170.7311638620527,616.3400440039558,1.8994890487020486,MAJOR_OCEAN,minecraft:deep_cold_ocean
8675309,8192,-150000,-54.0,4.523783377817864,1119.9121263513748,603.960987283568,1.8542789185579642,LAND,minecraft:old_growth_pine_taiga
8675309,-8192,-60000,-33.75,10.193207982371371,747.30206264889,753.9940709857042,0.9911245875871867,LAND,minecraft:old_growth_pine_taiga
8675309,0,-60000,-33.75,12.186922871946035,1295.5999308215776,739.3646116950287,1.7523153128080513,MAJOR_OCEAN,minecraft:deep_ocean
8675309,8192,-60000,-33.75,10.075589275421795,759.2245711119314,745.6462054630978,1.0182101988172803,LAND,minecraft:old_growth_pine_taiga
8675309,-8192,0,0.0,22.34373283962494,1264.3173069032325,922.1871911132489,1.3709985554852153,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
8675309,0,0,0.0,22.330036861073662,1354.4170962910514,921.9406634993259,1.4690935652520352,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
8675309,8192,0,0.0,22.340855298800644,1230.1749404151087,922.1353953784117,1.3340502344672374,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
8675309,-8192,60000,33.75,9.961496508148791,721.691874911645,747.455282562704,0.9655318408310295,LAND,minecraft:plains
8675309,0,60000,33.75,12.401887238273636,1221.192181855785,743.2339702889254,1.6430790715621593,MAJOR_OCEAN,minecraft:deep_ocean
8675309,8192,60000,33.75,10.265132772893372,719.8640524161035,752.984410535206,0.9560145500282519,LAND,minecraft:plains
8675309,-8192,150000,54.0,4.27943939971468,901.0802044619694,606.8451694353305,1.4848601420036427,LAND,minecraft:old_growth_pine_taiga
8675309,0,150000,54.0,5.342190352874719,1316.5870812885148,616.159426351745,2.136763676706163,MAJOR_OCEAN,minecraft:deep_cold_ocean
8675309,8192,150000,54.0,4.606674875935153,969.2751552919935,607.9324581164009,1.594379675490869,LAND,minecraft:old_growth_spruce_taiga
8675309,-8192,500000,75.0,-8.297311660880842,638.8198410210881,502.3337269780543,1.27170406188752,LAND,minecraft:ice_spikes
8675309,0,500000,75.0,-1.8665774322039974,1073.2883761539347,486.40160622032806,2.206588881344609,MAJOR_OCEAN,minecraft:deep_frozen_ocean
8675309,8192,500000,75.0,-8.598593374458206,684.8378248669128,504.05285368298655,1.3586627272576204,LAND,minecraft:ice_spikes
8675309,-8192,2000000,85.71428571428571,-7.269537191640522,1118.5332859362052,430.0,2.60124019985164,COASTAL_WATER,minecraft:frozen_ocean
8675309,0,2000000,85.71428571428571,-5.850753347837696,1053.6179800399814,430.0,2.450274372186003,MAJOR_OCEAN,minecraft:deep_frozen_ocean
8675309,8192,2000000,85.71428571428571,-7.359727320281491,1240.181301909348,430.0,2.884142562579879,COASTAL_WATER,minecraft:frozen_ocean
4303642605,-8192,-2000000,-85.71428571428571,-7.35074251123374,1096.7192296993999,430.0,2.550509836510232,COASTAL_WATER,minecraft:frozen_ocean
4303642605,0,-2000000,-85.71428571428571,-6.073572558800761,1159.1428569445122,430.0,2.6956810626616563,MAJOR_OCEAN,minecraft:deep_frozen_ocean
4303642605,8192,-2000000,-85.71428571428571,-7.331983044048856,1030.5373492716553,430.0,2.3965984866782684,COASTAL_WATER,minecraft:frozen_ocean
4303642605,-8192,-500000,-75.0,-8.671032634764972,648.0989375712778,504.17233712763766,1.28547103806531,LAND,minecraft:ice_spikes
4303642605,0,-500000,-75.0,-1.9804033449055525,1158.5176152029999,484.35273979170006,2.3918882253070977,MAJOR_OCEAN,minecraft:deep_frozen_ocean
4303642605,8192,-500000,-75.0,-8.215441326472504,637.3159276209055,501.3250346942179,1.2712629202920915,LAND,minecraft:ice_spikes
4303642605,-8192,-150000,-54.0,4.0204552571306085,924.0798242347604,606.9720414452593,1.5224421573594011,LAND,minecraft:old_growth_pine_taiga
4303642605,0,-150000,-54.0,5.337564859597803,1182.8190041933285,616.0761674727605,1.919923325463854,MAJOR_OCEAN,minecraft:deep_cold_ocean
4303642605,8192,-150000,-54.0,4.4610349271954775,889.0950098873649,610.4028820868622,1.4565707927978688,LAND,minecraft:old_growth_pine_taiga
4303642605,-8192,-60000,-33.75,10.052534755044515,717.4998486815247,753.2475094819836,0.9525419462388359,LAND,minecraft:plains
4303642605,0,-60000,-33.75,12.512217757186527,1078.5773093968771,745.2199196293575,1.4473275351165038,MAJOR_OCEAN,minecraft:deep_ocean
